p,d,q,seasonal_order,aic,bic,converged,fit_seconds,error
5,1,6,"(1, 1, 1, 24)",7330.351872931751,7397.826105173897,False,19.3,
5,2,0,"(1, 1, 1, 24)",7472.894477539856,7513.392560905759,False,11.9,
5,2,1,"(1, 1, 1, 24)",7474.327301018235,7519.325171424794,False,14.6,
5,2,2,"(1, 1, 1, 24)",7455.133346769675,7504.63100421689,False,11.8,
5,2,3,"(1, 1, 1, 24)",7439.9721835326,7493.96962802047,False,16.6,
5,2,4,"(1, 1, 1, 24)",7420.5450723991435,7479.042303927669,False,24.0,
5,2,5,"(1, 1, 1, 24)",7411.548153180796,7474.524103273467,False,17.9,
5,2,6,"(1, 1, 1, 24)",7379.276461818941,7446.728086671729,False,22.6,
6,0,0,"(1, 1, 1, 24)",7246.229142210711,7291.242038916115,True,8.4,
6,0,1,"(1, 1, 1, 24)",7302.752664961741,7352.266851337686,False,11.6,
6,0,2,"(1, 1, 1, 24)",7323.883171719425,7377.89864776591,False,18.0,
6,0,3,"(1, 1, 1, 24)",14421.553047408332,14480.069813125358,False,16.4,
6,0,4,"(1, 1, 1, 24)",7297.856127295578,7360.874182683143,False,19.0,
6,0,5,"(1, 1, 1, 24)",7309.11728570718,7376.636630765285,False,18.0,
6,0,6,"(1, 1, 1, 24)",7310.36447790061,7382.361070551104,False,19.1,
6,1,0,"(1, 1, 1, 24)",7274.486342654569,7319.484213061128,False,12.8,
6,1,1,"(1, 1, 1, 24)",7309.027004810864,7358.524662258079,False,16.5,
6,1,2,"(1, 1, 1, 24)",7338.823793186286,7392.821237674156,False,20.1,
6,1,3,"(1, 1, 1, 24)",7367.965301572919,7426.462533101445,False,18.8,
6,1,4,"(1, 1, 1, 24)",7356.906549873394,7419.903568442576,False,19.6,
6,1,5,"(1, 1, 1, 24)",7330.128230820697,7397.625036430535,False,23.3,
6,1,6,"(1, 1, 1, 24)",7324.296411241174,7396.268925632797,False,17.0,
6,2,0,"(1, 1, 1, 24)",7416.974064757877,7461.956886252642,False,11.0,
6,2,1,"(1, 1, 1, 24)",7446.538934276659,7496.0200379209,False,16.0,
6,2,2,"(1, 1, 1, 24)",7451.003944817279,7504.983330610997,False,15.9,
6,2,3,"(1, 1, 1, 24)",7426.621321506623,7485.098989449816,False,16.8,
6,2,4,"(1, 1, 1, 24)",7414.992395759811,7477.968345852481,False,17.6,
6,2,5,"(1, 1, 1, 24)",7402.943831244134,7470.4180634862805,False,16.7,
6,2,6,"(1, 1, 1, 24)",7366.895935725465,7438.844335568439,False,25.9,
